"Year" "TZA" "MS" "rCC" "Cops" "Micro" "rZPPP" "Sprat" "Herring" "Stickle" "Cod" "SPF" "LPF"
"15" 1993 9.84475165105773 0.0150741 -0.43223453995798 5.16566189133868 4.57924404172275 0.472949155 9.65796781754355 8.78131095376118 -2.97086104277046 1.91961721377425 NA 1.40770133801363
"16" 1994 9.61212560497479 0.014670743 -0.254588099758019 4.9072836326723 4.29640976744883 0.315459249 9.53244449049793 9.07137600848541 -3.10415427076776 2.91049993132499 9.62288529825559 2.35551894592921
"17" 1995 10.449942217019 0.016082384 0.919787743794188 5.39584532480813 5.82605085742008 0.849302445 9.79940377317022 8.60594810634318 -3.22197893453675 3.25468113524477 7.73151612856038 2.69544535948408
"18" 1996 10.3596208430901 0.014712545 0.274549566588522 5.58199777074475 5.3065298198496 1.042907036 10.1524775348289 8.88398885715612 -3.39317147558452 3.14243420880751 5.45804680455453 2.30286035510595
"19" 1997 10.3557209409135 0.013069567 0.31592451644083 5.13581047756601 5.45777280835551 1.650393717 10.225428550248 8.42225043310437 -3.52942104523517 2.82817786374907 7.32019372277051 1.49071270807614
"20" 1998 10.2646135786945 0.014985683 -2.69520054271062 6.00712764458617 3.44541061781681 0.629024946 9.71070754389339 8.34452774033409 -3.62821707301039 2.53543141976964 7.61074741405128 0.647962558604171
"21" 1999 11.157358339317 0.016157627 1.87761868127216 5.57833758330373 6.76700871699815 1.220560171 9.34123269005486 8.61666087046755 -3.71737765778903 2.17542081577246 8.24098785496141 0.154408932191531
"22" 2000 9.79397468723908 0.017498348 0.557313673244517 5.05975802327727 4.97848570752274 0.635103496 8.42539508750697 8.27262216035279 -3.68270893100958 2.02724217904166 NA 0.312038287003262
"23" 2001 10.9674453758153 0.015241481 1.64258809444895 5.15110734370587 6.5657077508667 3.222694616 9.00411129375312 8.62295494132883 -3.63531025157125 2.15424412075259 7.35935519272317 0.839711153971675
"24" 2002 10.7172153755764 0.016655344 1.42227898102669 5.38611288597594 6.25624584243234 2.55035571 8.50184705571771 7.79319858080646 -3.4851630741883 2.29921271290725 5.36227440568897 1.20826488017619
"25" 2003 9.8231371638253 0.017411632 -0.279168185331357 5.27431905226431 4.53895694211158 1.141497184 9.33183233172897 8.82623832937051 -3.31785046812498 2.44410826610012 9.6406560574334 1.32406330906005
"26" 2004 9.19227373887175 0.016789327 -2.18522861052076 4.98964364231054 2.5523624871986 0.528823566 9.77265507285304 8.81712504672615 -3.16692658441032 2.71195954963174 7.15904672855459 1.40755890948461
"27" 2005 10.1068267743127 0.01853567 -0.503206918280768 5.78149997127439 4.88820126305958 1.297515062 8.28153576667462 8.53765628996502 -3.02276412402915 2.91673262587086 5.40171392555492 1.43522475355212
"28" 2006 10.3501117688953 0.015064308 1.86449430006651 4.32990883494889 5.95712902869615 1.900909642 8.24532997792227 9.08928854373374 -2.91672029998131 2.80116961930341 9.01842700231221 1.53187672324515
"29" 2007 9.57100094563016 0.016395121 0.0844386537902432 4.9447387981726 4.37734881559327 0.688189068 8.62778956449842 8.28626617487394 -2.8892733273919 2.59683435417938 7.21460867140932 1.81671286082076
"30" 2008 10.6493653102977 0.014698971 0.204735015548707 5.90478042647324 5.65015902088804 0.410576384 8.38769720056595 8.46095952229159 -2.875275890034 2.58378454861645 8.34883757330758 2.04612180347649
